image,caption
3139895886_5a6d495b13.jpg,a black and white dog is running through a field
3133825703_359a0c414d.jpg,a man in a black shirt and a hat is standing next to a man in a red shirt
244910177_7c4ec3f65b.jpg,a woman in a red shirt is standing in front of a crowd
2127207912_9298824e66.jpg,a man is climbing a rock
1810651611_35aae644fb.jpg,a little boy in a red shirt is swinging on a swing
2271468944_3264d29208.jpg,a little boy in a red shirt is walking through the water
1813777902_07d1d4b00c.jpg,a woman in a red shirt and a red hat is standing in front of a large tree
146577646_9e64b8c2dc.jpg,a man in a wetsuit is surfing on a wave
127490019_7c5c08cb11.jpg,a little boy in a red shirt is playing with a red ball
3443703471_14845d8850.jpg,a dog is jumping over a chain
3676561090_9828a9f6d0.jpg,a dog is running through a field
3715559023_70c41b31c7.jpg,a man is standing on a rock in the ocean
458213442_12c59e61a0.jpg,a dog jumps over a hurdle
3220161734_77f42734b9.jpg,a man in a red shirt is jumping off a red slide
3483140026_e14f64fdf5.jpg,a man in a red shirt is standing in front of a red building
2603125422_659391f961.jpg,a man in a red shirt is standing in front of a large building
3396036947_0af6c3aab7.jpg,a little boy in a red shirt is jumping on a trampoline
2762702644_2aa3bf9680.jpg,a woman in a red shirt is standing in front of a store
2644916196_16f91dae54.jpg,a little boy is playing with a red toy
2832487464_2d30634e1e.jpg,a dog jumps over a hurdle
2886411666_72d8b12ce4.jpg,a dog is running through a field
3367053761_8ec5834bf3.jpg,a young boy is sitting on a bench with a red and white umbrella
2723477522_d89f5ac62b.jpg,two dogs play in the grass
3128514681_a51b415c31.jpg,a boy in a red shirt is jumping off a wooden bench
312427606_defa0dfaa8.jpg,a little boy is playing with a red toy
3182258223_5b9c8a8c55.jpg,a woman in a white shirt and a red hat is standing next to a man in a white shirt
3056569684_c264c88d00.jpg,a man is standing on a street with a <oov> in the background
3560081723_62da0035bd.jpg,a man in a red helmet is riding a bike through a dirt trail
2192333873_2a0cbe849d.jpg,a man in a red shirt is climbing a rock
3397220683_4aca010f86.jpg,a dog is running through the water
3339105374_cc41e0b7d7.jpg,a man is standing on top of a mountain
424506167_01f365726b.jpg,two brown dogs are playing in the grass
